orden,id,accion,evidencia_url,impacto,esfuerzo,impacto_x_esfuerzo,horizonte,dependencia,estado_evidencia
1,INT-02,"Crear diccionario maestro de familias/colores; corregir handles solo con mapa 301 uno-a-uno, canonicals, hreflang y enlaces actualizados.",https://www.matchwalls.com/en/products/black-noridcas-lines | https://www.matchwalls.com/en/products/enchathed-forest-tapestry-blue,Alto,Alto,5,31-90 días,Validación y autorización antes de modificar Shopify,Verificado
2,CAT-01,"Definir estrategia: noindex de muestras y enlaces de compra desde producto principal, o contenido/canonical diferenciado si deben posicionar.",https://www.matchwalls.com/en/products/blue-classic-grid-sample | https://www.matchwalls.com/products/muestra-abstract-curves-negro,Alto,Alto,5,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
3,CAT-04,Crear QA editorial centralizado por familia/atributo y un flujo de corrección con redirecciones y control de hreflang.,https://www.matchwalls.com/en/products/enchathed-garden-symphony-black | https://www.matchwalls.com/,Alto,Alto,5,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
4,TEC-01,Retirar de publicación/sitemap y devolver 404/410 o redirigir solo si existe sustituto equivalente; verificar enlaces internos.,https://www.matchwalls.com/en/pages/facade-variants/test | https://www.matchwalls.com/de/pages/facade-variants/test,Alto,Bajo,9,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
5,TEC-05,Corregir el bloque/section que imprime CSS como contenido; validar HTML renderizado y cachés.,https://www.matchwalls.com/,Alto,Bajo,9,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
6,TEC-07,Recomprobar desde monitorización externa y revisar logs/plantilla/producto si el 500 se reproduce.,https://www.matchwalls.com/en/products/black-noridcas-lines,Alto,Bajo,9,0-30 días,Validación y autorización antes de modificar Shopify,Verificado con limitación
7,INT-03,Corregir el bloque compartido y revisar ES/EN/FR/DE/NL con detección automática y revisión humana.,https://www.matchwalls.com/de/pages/kundendienst | https://www.matchwalls.com/en/pages/customer-service,Alto,Bajo,9,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
8,CON-01,Revisión editorial completa de home ES; fijar glosario para nombres propios vs términos traducibles.,https://www.matchwalls.com/,Alto,Bajo,9,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
9,INT-05,Normalizar handles localizados de muestras y aplicar redirecciones controladas; revisar toda la matriz de traducción.,https://www.matchwalls.com/en/products/muestra-de-wildflower-whisper-lila | https://www.matchwalls.com/fr/products/muestra-de-wildflower-whisper-lila,Alto,Medio,7,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
10,TEC-02,"Añadir un H1 único, descriptivo y localizado a cada plantilla/página afectada.",https://www.matchwalls.com/en/pages/about-us | https://www.matchwalls.com/de/pages/uber-uns,Alto,Bajo,9,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
11,TEC-03,Mantener un H1 por documento y convertir el segundo en H2 o texto visual.,https://www.matchwalls.com/en/pages/contact | https://www.matchwalls.com/de/pages/kontakt-1,Medio,Bajo,6,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
12,INT-04,"Confirmar intención, crear URL francesa correcta y 301; actualizar canonical, hreflang y enlaces.",https://www.matchwalls.com/fr/collections/nouveaux-matchalls-matchwallsmurals,Medio,Bajo,6,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
13,CAT-03,"Aplicar plantilla de metadata que incluya familia, color, tipo de SKU y propuesta única; evitar indexar muestras si no aportan valor.",https://www.matchwalls.com/de/products/blue-classic-grid-probe | https://www.matchwalls.com/de/products/green-classic-grid-probe,Medio,Bajo,6,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
14,CON-02,"Corregir errores con 301, editar H1/meta y crear calendario evergreen basado en preguntas de compra/instalación.",https://www.matchwalls.com/blogs/inspiracion/transfroma-tu-cocina-en-un-espacio-moderno-y-funcional-papel-vinilico | https://www.matchwalls.com/en/blogs/inspiration/discover-how-the-vinyl-paper-of-matchwalls-com-can-transform-your-kitchen-into-a-modern-and-functional-space,Alto,Medio,7,0-30 días,Validación y autorización antes de modificar Shopify,Verificado
15,INT-06,"Comparar producto fuente, traducciones y canonicals; consolidar solo cuando sean duplicados reales.",https://www.matchwalls.com/de/products/alpine-serenity-brown-1,Medio,Alto,2,31-90 días,Validación y autorización antes de modificar Shopify,Hipótesis respaldada
16,CAT-02,Clasificar URLs por producto principal/muestra/variante; priorizar indexación de páginas con demanda y contenido único.,https://www.matchwalls.com/sitemap.xml,Alto,Alto,5,31-90 días,Validación y autorización antes de modificar Shopify,Verificado
17,TEC-04,Definir reglas por tipo de imagen: alt descriptivo para producto/ambiente y alt vacío para decoración; auditar imágenes clave.,https://www.matchwalls.com/,Medio,Medio,4,31-90 días,Validación y autorización antes de modificar Shopify,Verificado
18,TEC-06,"Reescribir metadatos por intención y mercado, priorizando páginas con impresiones.",https://www.matchwalls.com/blogs/inspiracion/ideas-para-papel-pintado-transforma-tu-espacio-con-disenos-encantadores,Medio,Medio,4,31-90 días,Validación y autorización antes de modificar Shopify,Verificado
19,INT-01,"Validar reciprocidad, códigos regionales y x-default con Search Console/export completo; corregir pares rotos.",https://www.matchwalls.com/,Alto,Medio,7,31-90 días,Validación y autorización antes de modificar Shopify,Verificado
20,CON-04,"Crear casos de proyecto verificables con sector, reto, material, resultado, fotografías, autor y enlaces a soluciones.",https://www.matchwalls.com/en/pages/professionals | https://www.matchwalls.com/en/pages/professional-studies,Alto,Medio,7,3-6 meses,Validación y autorización antes de modificar Shopify,Verificado
21,TEC-08,"Monitorizar semanalmente sitemap, indexables y exclusiones; no bloquear IA útil sin estrategia.",https://www.matchwalls.com/robots.txt | https://www.matchwalls.com/sitemap.xml,Medio,Bajo,6,31-90 días,Validación y autorización antes de modificar Shopify,Verificado
22,CON-03,"Actualizar respuestas, añadir autoría/fecha y enlazar a guías y categorías; no duplicar FAQs idénticas en exceso.",https://www.matchwalls.com/en/pages/frequent-questions,Alto,Bajo,9,31-90 días,Validación y autorización antes de modificar Shopify,Verificado
23,CAT-05,Validar una muestra representativa por idioma en Rich Results Test y Merchant Center; añadir identificadores coherentes (SKU/GTIN/MPN cuando proceda).,https://www.matchwalls.com/products/whispering-woods-azul,Alto,Medio,7,31-90 días,Validación y autorización antes de modificar Shopify,Verificado
24,SCH-01,"Revisar visualmente y publicar manualmente el tema aislado SEO schema hotfix - 2026-06-15; verificar home, producto y artículo después de publicar.",https://www.matchwalls.com/products/whispering-woods-verde,Crítico,Bajo,10,0-30 días,Publicación manual desde Shopify,Verificado y preparado
25,ARC-01,"Definir si /collections/murales representa murales o todo el catálogo; alinear después regla, título, contenido, traducciones y navegación.",https://www.matchwalls.com/collections/murales,Crítico,Medio,8,0-30 días,Decisión comercial y validación de enlaces,Verificado
26,INT-07,"Clasificar las 58 colecciones geográficas usando rendimiento y ventas; reescribir solo las valiosas y consolidar o retirar del índice las restantes.",https://www.matchwalls.com/collections/comprar-papel-pintado-madrid,Alto,Alto,5,31-90 días,Export de Search Console/Bing y ventas,Verificado
27,CAT-06,"Mantener el bloqueo de GTIN falsos en schema y auditar el origen de barcodes antes de cualquier limpieza de catálogo.",https://www.matchwalls.com/products/whispering-woods-verde,Crítico,Medio,8,0-30 días,Publicar hotfix y revisar feeds/canales,Verificado
28,INT-08,"Corregir las traducciones compartidas de interfaz alemana en un tema aislado y validar home, colección, producto, carrito y páginas corporativas.",https://www.matchwalls.com/de/products/brown-noridcas-linien,Alto,Medio,7,0-30 días,Revisión editorial alemana y QA visual,Verificado
29,CAT-12,"Normalizar etiquetas equivalentes como Marron/Marrón mediante un mapa maestro y revisar antes las reglas automáticas dependientes.",https://www.matchwalls.com/collections/lo-mas-contemporaneo-murales,Alto,Medio,7,0-30 días,Mapa de reglas de colecciones,Verificado
30,CAT-13,"Auditar y corregir alt de imágenes principales y muestras con validación visual por familia.",https://www.matchwalls.com/products/whispering-woods-azul,Medio,Medio,4,31-90 días,Validación visual de imágenes,Verificado
31,INT-09,"Corregir las traducciones compartidas de interfaz neerlandesa en un tema aislado y validar home, colección, producto, carrito y páginas corporativas.",https://www.matchwalls.com/nl/products/bruine-noridcas-lijnen,Alto,Medio,7,0-30 días,Revisión editorial neerlandesa y QA visual,Verificado
32,CON-05,"Restaurar el contenido principal localizado de Muestras, Sobre nosotros y FAQ mediante correcciones controladas en tema auxiliar; validar los cinco idiomas antes de publicar.",https://www.matchwalls.com/en/pages/request-your-sample | https://www.matchwalls.com/fr/pages/a-propos-de-nous | https://www.matchwalls.com/en/pages/frequent-questions,Crítico,Alto,8,0-30 días,Acceso completo y QA del tema auxiliar,Verificado
33,CON-06,"Consolidar la FAQ española en un único H1 y un único FAQPage después de validar todas las políticas y prestaciones publicadas.",https://www.matchwalls.com/pages/preguntas-frecuentes,Crítico,Medio,8,0-30 días,Validación comercial y QA de schema,Verificado
34,CON-07,"Validar la propuesta B2B y corregir Profesionales en ES/EN/FR/DE/NL, eliminando H1 duplicado y promesas no demostradas.",https://www.matchwalls.com/pages/profesionales,Crítico,Medio,8,0-30 días,Validación comercial B2B,Verificado
35,CON-08,"Corregir etiquetas y destinos del footer global en ES/EN/FR/DE/NL, incluida la errata 'púbicos', traducciones defectuosas y Black Friday 2024.",https://www.matchwalls.com/,Crítico,Medio,8,0-30 días,Acceso seguro a navegación y validación de destinos,Verificado
36,CAT-08,"Validar la matriz producto-material-prestación y reescribir las colecciones de Estilos, Colores y Espacios sin afirmaciones no demostradas.",https://www.matchwalls.com/collections/papeles-pintados-para-banos | https://www.matchwalls.com/collections/murales-para-la-cocina,Alto,Alto,5,31-90 días,Matriz técnica de producto y materiales,Verificado
37,CON-09,"Auditar y optimizar individualmente los 11 artículos y sus traducciones: resumen, frescura, title, meta, jerarquía, imágenes, enlaces, autoría y Article schema.",https://www.matchwalls.com/blogs/inspiracion,Alto,Alto,5,31-90 días,Revisión editorial y datos de rendimiento,Verificado
38,INT-10,"Corregir las plantillas localizadas que ocultan traducciones guardadas y verificar ES/EN/FR/DE/NL en móvil y escritorio.",https://www.matchwalls.com/en/pages/request-your-sample | https://www.matchwalls.com/fr/pages/a-propos-de-nous | https://www.matchwalls.com/nl/pages/over-ons,Crítico,Alto,8,0-30 días,Acceso completo y QA del tema auxiliar,Verificado
39,CON-10,"Migrar FAQ y Profesionales desde bloques fijos del tema a contenido localizable y gobernado; validar todos los textos, schema, enlaces, móvil y escritorio antes de publicar.",https://www.matchwalls.com/pages/preguntas-frecuentes | https://www.matchwalls.com/pages/profesionales,Crítico,Alto,8,0-30 días,Edición segura del tema auxiliar y validación comercial,Verificado
40,CON-11,"Migrar Afiliación y prensa desde bloques fijos del tema a contenido localizable; validar condiciones, testimonios, derechos de imagen y cinco idiomas.",https://www.matchwalls.com/pages/social-prensa-y-afiliacion | https://www.matchwalls.com/en/pages/social-press-and-affiliation,Crítico,Alto,8,0-30 días,Edición segura del tema auxiliar y validación comercial/legal,Verificado
41,SCH-01-POST,"Hotfix de schema publicado manualmente y verificado: 0 errores JSON-LD, 0 AggregateRating corporativo fijo, 0 GTIN/MPN falsos y Product/Offer correcto en matriz ES/EN/FR/DE/NL.",https://www.matchwalls.com/products/whispering-woods-azul,Crítico,Bajo,10,0-30 días,"Mantener monitorizacion; no publicar SEO-GEO staging en este lote",CORREGIDO Y VERIFICADO
